acl 2.2.52-3
adwaita-icon-theme 3.24.0-1
alsa-lib 1.1.4.1-1
arch-install-scripts 17-1
archiso 31-1
archlinux-keyring 20170611-1
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
b43-fwcutter 019-1
bash 4.4.012-2
bc 1.07.1-1
bind-tools 9.11.1.P1-1
binutils 2.28.0-3
bison 3.0.4-2
bluez-libs 5.45-1
btrfs-progs 4.11-1
bzip2 1.0.6-6
c-ares 1.12.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.31-3
ca-certificates-utils 20170307-1
cairo 1.14.10-1
caja 1.18.3-1
celt0.5.1 0.5.1.3-3
chrpath 0.16-1
cifs-utils 6.7-2
clonezilla 3.21.13-1
cmake 3.8.2-1
colord 1.3.5-1
compositeproto 0.4.2-3
coreutils 8.27-1
cpupower 4.11-2
cracklib 2.9.6-1
crda 3.18-1
cryptsetup 1.7.5-1
curl 7.54.1-1
damageproto 1.2.1-3
darkhttpd 1.12-3
db 5.3.28-3
dbus 1.10.18-1
dbus-glib 0.108-1
dconf 0.26.0+1+g701d19d-1
ddrescue 1.21-1
depot-tools-git r4416.1306bd03-1
desktop-file-utils 0.23-1
device-mapper 2.02.171-1
dhclient 4.3.5-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
ding-libs 0.6.0-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.77-1
dnssec-anchors 20170228-1
dosfstools 4.1-1
double-conversion 2.0.1-3
drbl 2.20.11-1
dri2proto 2.8-2
dri3proto 1.0-1
e2fsprogs 1.43.4-1
ecryptfs-utils 111-2
efibootmgr 15-1
efitools 1.7.0.5.g0649468-1
efivar 31-1
elinks 0.13-18
enchant 1.6.1-2
ethtool 1:4.11-1
exempi 2.4.2+1+gc26d5be-1
exfat-utils 1.2.7-1
